year H0 err
2001 71.98058252427185 79.98058252427184
2008 74.19417475728156 77.76699029126213
2010 73.7864077669903 76.19417475728156
2012 74.29126213592232 76.3883495145631
2016 73.22330097087378 74.95145631067962
2018 73.45631067961165 75.10679611650485
2019 74.19417475728156 76
2021 73.16504854368932 74.46601941747574
2022 73.00970873786407 74.03883495145631
